CustomerID,CustomerName,ContactName,Address,City,State,PostalCode,Country,Phone,Email,CreditLimit,PaymentTerms,CustomerSince,SalesRepEmployeeID,CustomerSegment,Industry,Region,IsActive
14,Lewis and Sons,Kimberly Wolf,858 Phillip Plains Suite 825,South Patrick,IN,84036,USA,(429)632-8357x6755,customer0014@example.com,7636.62,Net 30,2019-12-05,108,Small Business,Office,Midwest,1
15,Williamson Inc,Donna Myers,3236 Lisa Prairie Suite 160,North Lindsay,NY,04939,USA,(751)979-2846,customer0015@example.com,72250.28,Net 45,2020-04-11,108,Wholesale,Office,Northeast,1
16,"Mitchell, Bennett and Gonzalez",Roger Schmidt,71521 Tammy Parkway,Port Wesley,NJ,56039,USA,9896633751,customer0016@example.com,86419.1,Net 30,2022-09-27,84,Design Trade,Hospitality,Northeast,1
17,Calderon-Dickerson,Albert Wagner,7973 Kline Courts Apt. 372,Beverlyland,TN,92739,USA,6063391083,customer0017@example.com,117118.29,Net 45,2018-02-01,108,Design Services,Real Estate,South,1
18,"Robinson, Freeman and Cunningham",Dwayne Grimes,3354 Joshua Cove,Schroedermouth,KY,78132,USA,351-337-7912x991,customer0018@example.com,168704.34,Net 30,2021-02-15,108,Wholesale,Hospitality,South,1
19,Ortiz Group,Erika Hale,408 Gilmore Row,Ewingport,CO,26578,USA,001-416-397-4742x186,customer0019@example.com,133712.35,Net 45,2023-07-31,107,Wholesale,Hospitality,West,1
20,Bailey Ltd,Tracy Stone,076 Salazar Points Apt. 890,West Jesus,KY,23553,USA,898.943.4858,customer0020@example.com,221348.99,Net 30,2016-10-13,84,Strategic,Real Estate,South,1
21,Ellison Ltd,Kelly Thomas,757 Middleton Cove Apt. 639,West Thomas,PA,68446,USA,+1-365-948-6802,customer0021@example.com,121047.62,Net 45,2021-12-01,82,Wholesale,Office,Northeast,1
22,Roman LLC,Daniel Patel,2753 Willie Pines Suite 176,Jessicamouth,NJ,55436,USA,540-598-4863x3865,customer0022@example.com,120381.37,Net 45,2024-02-20,6,Wholesale,Real Estate,Northeast,1
23,Estes Inc,Bradley Rios,48135 Emma Groves Suite 056,Josephshire,PA,90234,USA,904-692-2004x62440,customer0023@example.com,116331.53,Net 60,2020-07-04,120,Wholesale,Retail,Northeast,1
24,"Sanchez, Lee and Jones",Leslie Rodgers,3330 Porter Club Apt. 801,Foleyport,IN,89258,USA,(611)817-1025,customer0024@example.com,58146.44,Net 45,2023-05-20,107,Wholesale,Office,Midwest,1
25,Larson Group,Ann Conway,8621 Bryant Union Apt. 103,Hayeston,TN,23032,USA,001-830-811-2512,customer0025@example.com,37895.03,Net 60,2022-11-05,108,Small Business,Interior Design,South,1
26,Garcia-Joseph,Neil Henson,02085 Kathleen Knoll,North Laura,MI,06278,USA,+1-551-333-2294,customer0026@example.com,117997.0,Net 30,2020-01-22,120,Wholesale,Retail,Midwest,1
27,Gonzalez LLC,Joanna Walker,7379 Terrell Road Apt. 442,Port Michele,TN,50306,USA,001-918-585-3293,customer0027@example.com,20613.2,Net 45,2021-01-02,107,Small Business,Hospitality,South,1
28,"Stephens, Nichols and Deleon",James Sutton,6893 Cervantes Corners,Robertview,AZ,53439,USA,385.569.4696x79658,customer0028@example.com,21646.27,Net 30,2025-02-09,107,Small Business,Real Estate,West,1
29,"Zamora, Thompson and Brooks",Justin Rojas,24339 Price Rapids Apt. 011,Alisonfort,MA,38836,USA,6606865345,customer0029@example.com,51972.11,Net 60,2020-10-31,107,Design Services,Office,Northeast,1
30,Kelly-Moreno,Jacob Mason,491 Day Gardens,West Jennifer,AZ,30890,USA,+1-311-985-6676,customer0030@example.com,119489.02,Net 30,2023-07-04,107,Design Services,Interior Design,West,1
31,Ramirez Group,Amanda Chapman,18828 Wright Heights,Kristinaview,IN,40641,USA,924.714.2478,customer0031@example.com,147758.19,Net 30,2023-07-30,6,Design Services,Real Estate,Midwest,1
32,Mullen-Vincent,Jeffrey Rodriguez,242 Collins Brooks,West Kevin,CO,33506,USA,+1-498-742-9107x367,customer0032@example.com,150306.3,Net 30,2024-12-27,107,Wholesale,Interior Design,West,1
33,"Schmidt, Smith and Villarreal",John Obrien,16678 Michael Falls,Jefferyview,OH,86357,USA,806.404.2914x92611,customer0033@example.com,92341.66,Net 30,2021-04-10,108,Design Trade,Real Estate,Midwest,1
34,Bush-Hart,Anthony Davis,0691 Amber Unions Suite 013,Michaelhaven,CO,88204,USA,649.274.7827x67528,customer0034@example.com,131946.0,Net 45,2020-11-03,84,Strategic,Hospitality,West,1
35,Mahoney-Browning,Hannah Tran,397 Herrera Spur Apt. 838,Port Mckenziebury,NY,65937,USA,+1-931-221-9791x965,customer0035@example.com,24578.46,Net 30,2018-02-08,84,Small Business,Office,Northeast,1
36,"Nichols, Kelly and Williamson",Vanessa Davis,69846 Turner Unions,South David,NY,26509,USA,2828530582,customer0036@example.com,32995.98,Net 60,2019-10-08,82,Small Business,Retail,Northeast,1
37,"Chapman, Walker and Campbell",Gabriel Garcia,361 Richard Lights Apt. 552,Garyhaven,OH,50262,USA,(274)892-5484x728,customer0037@example.com,159666.26,Net 45,2017-06-16,6,Wholesale,Real Estate,Midwest,1
38,"Fox, Nelson and Richard",Adam Dennis,166 Baker Lights,East Jennifer,CA,97524,USA,001-674-965-1197x2892,customer0038@example.com,124583.65,Net 60,2020-07-05,107,Wholesale,Retail,West,1
39,Reese and Sons,James Grant PhD,227 Warner Hills,Lake Jillianborough,IL,03193,USA,(868)907-9316,customer0039@example.com,142006.06,Net 30,2024-09-30,84,Design Services,Retail,Midwest,1
40,"Swanson, Escobar and Werner",Penny Thompson,2816 Frank Shores,South Jeremiah,FL,63361,USA,220-976-2418,customer0040@example.com,15421.16,Net 30,2021-01-11,6,Small Business,Real Estate,South,1
41,Harper-Kelly,Ryan Bailey,72242 Michael Points,Josephstad,CA,40157,USA,+1-788-817-0731,customer0041@example.com,24407.36,Net 45,2024-02-24,108,Small Business,Retail,West,1
42,Hart and Sons,Patricia Barnes,718 Castillo Junctions,Lake Terri,NJ,52001,USA,001-339-505-0493x6024,customer0042@example.com,40604.89,Net 30,2017-11-07,6,Design Services,Office,Northeast,1
43,Davidson-Riley,Dr. David Nichols,5144 Smith Junctions,Lawsonland,IN,14027,USA,849-785-4086,customer0043@example.com,53114.95,Net 30,2017-03-31,82,Wholesale,Hospitality,Midwest,1
44,"Wright, Johnson and Frye",Pamela Mason,9243 Sawyer Forge Suite 633,Josephhaven,KY,30813,USA,594.847.3501,customer0044@example.com,112575.57,Net 30,2016-12-23,120,Wholesale,Hospitality,South,1
45,Alvarez-Smith,Victoria Hurley,8879 Dominguez Mission,Rachaelmouth,GA,16173,USA,+1-237-244-4878,customer0045@example.com,29673.47,Net 45,2020-09-29,84,Design Trade,Interior Design,South,1
46,"Gutierrez, Bell and Sanders",Jacob Lawrence,0185 Steven Tunnel,Youngstad,NY,68103,USA,+1-834-984-7356x58798,customer0046@example.com,55681.79,Net 30,2020-02-09,6,Design Trade,Interior Design,Northeast,1
47,Singh Group,David Robinson,8168 Mitchell Vista,Priceland,OR,15316,USA,001-499-375-7002x2004,customer0047@example.com,9613.53,Net 90,2023-03-13,120,Small Business,Interior Design,West,1
48,Rosales Group,Jorge Hall,978 Krause Wells,Angelaborough,NY,28459,USA,201.732.0254x054,customer0048@example.com,82397.53,Net 30,2021-05-08,108,Design Services,Office,Northeast,1
49,"Taylor, Beltran and Clark",Denise Andrews,88110 Hicks Ford Apt. 534,North Justintown,AZ,58375,USA,727.754.6646x485,customer0049@example.com,69557.77,Net 30,2024-02-24,82,Design Trade,Hospitality,West,1
50,Lopez-Scott,Alicia Rosales,6614 Taylor Harbor,Sheriview,KY,27302,USA,001-733-690-0823x0282,customer0050@example.com,27938.61,Net 30,2024-12-01,82,Small Business,Retail,South,1
51,Robinson-Randall,Marcus Green,392 Martin Loaf,South Jacob,OH,40607,USA,680-446-3284x310,customer0051@example.com,265580.49,Net 60,2023-01-21,6,Strategic,Hospitality,Midwest,1
52,"James, Gill and Campbell",Jenna Monroe MD,664 Patricia Neck Apt. 159,Christopherland,IL,98341,USA,+1-469-449-0249x18146,customer0052@example.com,34690.2,Net 90,2016-11-04,84,Design Trade,Office,Midwest,1
53,Vaughn Group,James Wade,20772 Corey Inlet Apt. 858,Port Samanthaborough,TN,50292,USA,710-649-6601x87716,customer0053@example.com,8642.94,Net 45,2024-12-16,6,Small Business,Hospitality,South,1
54,Arroyo Inc,Mr. William Harris,03751 Medina Gateway Suite 873,North James,OH,07471,USA,572.270.1106x12134,customer0054@example.com,17833.8,Net 45,2024-01-24,108,Small Business,Retail,Midwest,1
55,Reyes LLC,Travis Ellis,1546 Fisher Rapid Suite 066,Haleymouth,PA,02968,USA,(231)718-1564x164,customer0055@example.com,102608.87,Net 30,2021-05-23,108,Wholesale,Hospitality,Northeast,1
56,"Jensen, Carroll and Gonzales",Paul Moore,29170 Mia Square,Keithburgh,KY,51032,USA,+1-846-666-8093,customer0056@example.com,21197.47,Net 30,2017-09-07,82,Small Business,Real Estate,South,1
57,Green LLC,Cody Ford,4384 Brenda Road Suite 530,Lake Thomashaven,IL,82440,USA,+1-381-940-4258x966,customer0057@example.com,89975.86,Net 60,2021-01-06,120,Design Services,Real Estate,Midwest,1
58,Smith-Fisher,Susan Norris,6619 Beard Motorway Apt. 321,Porterbury,FL,58235,USA,3305910901,customer0058@example.com,31151.01,Net 30,2022-07-12,107,Small Business,Office,South,1
59,Krueger-Serrano,Cheryl Martin,055 Kelly Burgs Suite 105,Osbornemouth,CA,69056,USA,+1-291-366-0302x09340,customer0059@example.com,19409.88,Net 60,2018-04-20,107,Small Business,Office,West,1
60,Stewart PLC,Thomas Nixon,526 Burns Groves,New Kathy,MA,16455,USA,001-260-225-4416,customer0060@example.com,156567.39,Net 45,2024-07-10,107,Wholesale,Retail,Northeast,1
61,"Webb, Melendez and Warner",Kyle Ramirez,744 Aaron Well,Port Jonathanton,AZ,40001,USA,001-605-995-0746x007,customer0061@example.com,125008.19,Net 30,2019-07-12,84,Design Services,Retail,West,1
62,Davis-Young,David Moore,73523 George Mission Suite 466,North Nicholasstad,KY,80889,USA,(960)511-4287x386,customer0062@example.com,129970.12,Net 30,2023-06-23,120,Wholesale,Hospitality,South,1
63,Hunter-Hamilton,Richard Turner,69475 Amy Expressway,Port Ianside,OR,87784,USA,(467)385-3027x079,customer0063@example.com,82287.7,Net 30,2023-07-14,84,Design Trade,Hospitality,West,1
64,"Young, Baker and Wilson",Anita Moore,3549 George Ridges,Howardmouth,IN,55336,USA,+1-550-610-5710x516,customer0064@example.com,36855.87,Net 30,2017-05-21,82,Small Business,Retail,Midwest,1
65,Bailey-Lewis,Laurie Crosby,113 Villegas Brook,Lake Kristy,FL,49557,USA,344.459.5285x4354,customer0065@example.com,67531.75,Net 45,2024-06-24,82,Wholesale,Retail,South,1
66,Nguyen Ltd,Kaitlyn Freeman,095 Shelton Groves,Lake Anthony,IN,50924,USA,404.947.2432x3667,customer0066@example.com,23865.98,Net 30,2020-09-05,84,Small Business,Retail,Midwest,1
67,"Roth, Barton and Leach",William Spears,89716 Calderon Creek,Port Marilynland,FL,40881,USA,(347)661-3922,customer0067@example.com,84945.93,Net 60,2023-02-14,120,Design Trade,Retail,South,1
68,Gillespie-Walker,Brittany Rhodes,7625 Jeanne Drive Suite 981,East Melinda,OH,66131,USA,496-743-0389,customer0068@example.com,131567.68,Net 30,2018-06-07,84,Wholesale,Real Estate,Midwest,1
69,"Miller, Wolf and Anderson",Timothy Jones,0013 Carrillo Village Suite 748,Laurastad,NY,89081,USA,+1-435-375-4337x144,customer0069@example.com,51057.53,Net 60,2024-06-10,107,Design Trade,Retail,Northeast,1
70,Oconnor-Ortiz,Matthew Castro,2435 Leah Branch Suite 383,New Jasonbury,FL,77525,USA,+1-933-667-4265x063,customer0070@example.com,93796.52,Net 30,2020-05-04,84,Design Trade,Office,South,1
71,Barker PLC,Kayla Mitchell,324 Barry Lakes Apt. 205,Walterfort,CO,87350,USA,966-722-3654x1767,customer0071@example.com,158223.09,Net 30,2016-07-07,6,Wholesale,Office,West,1
72,Dougherty PLC,Beverly Thomas,939 Brown Roads Apt. 181,Kendraland,OR,05110,USA,+1-977-674-9890x949,customer0072@example.com,151000.87,Net 45,2020-08-09,120,Wholesale,Retail,West,1
73,Perez-Smith,Samantha Jones,8573 George Dale Apt. 044,Jenniferburgh,NJ,05685,USA,001-222-508-4462x6313,customer0073@example.com,101593.28,Net 60,2023-02-27,120,Wholesale,Interior Design,Northeast,1
74,"Mason, Lee and Cortez",Carl Smith,7743 Chandler Tunnel Suite 439,West Thomas,NY,28940,USA,691.663.6311,customer0074@example.com,87346.92,Net 30,2023-09-04,120,Design Trade,Office,Northeast,1
75,Roberts-David,Rachel Ferguson DVM,941 Graham Harbor Suite 014,Port Jacobport,NC,21953,USA,(694)923-7275,customer0075@example.com,59499.86,Net 60,2017-08-21,84,Design Trade,Hospitality,South,1
76,Dalton-Jackson,Angela Oconnor,8933 Aguirre Trace Apt. 632,Joshuaborough,WA,57574,USA,(975)735-5872,customer0076@example.com,21139.55,Net 30,2017-02-08,107,Small Business,Retail,West,1
77,Russell PLC,Eric Gonzales,4348 Alan Causeway Apt. 113,Sanchezside,MA,16767,USA,4006487749,customer0077@example.com,118876.72,Net 45,2017-10-19,107,Design Services,Retail,Northeast,1
78,"Eaton, Robertson and Grant",Jennifer Carter,1772 Ward Station Suite 389,Susantown,AZ,12688,USA,001-509-318-9973x6918,customer0078@example.com,306536.06,Net 45,2019-04-14,6,Strategic,Hospitality,West,1
79,Fields-Middleton,Hunter White,574 Michael Burg Apt. 295,Lake Michaelmouth,OH,35122,USA,700-788-7562x31902,customer0079@example.com,38906.17,Net 60,2022-08-31,107,Design Trade,Hospitality,Midwest,1
80,Burton-Beard,Daniel Young,2215 Valerie Crossroad Apt. 556,Stewartside,MI,10306,USA,+1-581-788-0866x4778,customer0080@example.com,149632.34,Net 30,2018-09-20,82,Wholesale,Interior Design,Midwest,1
81,Koch-Ali,Caleb Johnson,32988 Lopez Pine Apt. 498,Port Kevinshire,CO,77883,USA,(437)565-5610,customer0081@example.com,62223.98,Net 60,2017-02-05,107,Wholesale,Office,West,1
82,Phillips Inc,Luis Payne,6409 Williams Oval,Johnfurt,NC,56816,USA,740-244-1171x447,customer0082@example.com,26891.82,Net 45,2020-12-01,82,Design Trade,Interior Design,South,1
83,"Bryant, Day and Rivera",Adam Stanton,651 Kelly Mission,Millermouth,NC,02123,USA,(927)651-1256,customer0083@example.com,119253.24,Net 30,2019-11-29,107,Wholesale,Hospitality,South,1
84,Robinson-Mullins,Preston Jones,4182 Chavez Rapid Suite 646,Port Meghanstad,MA,69241,USA,001-597-516-9281x8949,customer0084@example.com,62338.13,Net 60,2025-03-03,82,Design Trade,Real Estate,Northeast,1
85,"Miller, Johnson and Marshall",Erin Miller,280 Donald Plaza Suite 985,Bowersberg,MA,31432,USA,333.621.9087x0128,customer0085@example.com,46351.93,Net 45,2024-02-04,82,Design Services,Interior Design,Northeast,1
86,"Robinson, Phillips and Williams",Luke Jones,945 Timothy Trail Suite 516,North Allen,OR,03653,USA,001-443-319-2557x927,customer0086@example.com,113820.64,Net 45,2023-01-21,84,Wholesale,Hospitality,West,1
87,Baldwin Group,Jose Webb,3456 Smith Lock Suite 747,South Joseport,NC,38657,USA,+1-638-899-3160x1702,customer0087@example.com,135369.58,Net 30,2023-11-18,82,Strategic,Office,South,1
88,"Flores, Erickson and Black",Mrs. Angel Cooper,8254 Troy Islands,East Laurenfurt,WA,94687,USA,(655)661-0446,customer0088@example.com,54370.31,Net 45,2023-08-13,84,Design Trade,Real Estate,West,1
89,Hayes-Bass,Rebecca Coffey MD,7563 Farmer Highway,Hernandezland,NC,32013,USA,569-339-0239x1298,customer0089@example.com,32809.95,Net 45,2018-09-27,6,Small Business,Retail,South,1
90,Armstrong PLC,Sarah Garrison,54438 Brandon Divide Apt. 604,South Karenville,KY,54950,USA,903-975-4966x415,customer0090@example.com,118371.07,Net 45,2024-02-05,6,Wholesale,Real Estate,South,1
91,Hurst-Merritt,Christina Burch,3577 Stephen Ports Apt. 813,Thompsonbury,WI,81024,USA,638.693.7347,customer0091@example.com,33201.61,Net 45,2021-02-28,120,Small Business,Real Estate,Midwest,1
92,Russell-Vance,Michele Sawyer,6965 Lynn Underpass Apt. 497,Stewartland,NY,82376,USA,001-786-463-0697,customer0092@example.com,69193.83,Net 90,2020-08-07,6,Design Services,Hospitality,Northeast,1
93,"Rodriguez, Hernandez and Carpenter",Angela Cortez MD,945 Taylor Expressway,Reginaldbury,FL,87087,USA,+1-764-857-2561,customer0093@example.com,35432.0,Net 30,2022-10-22,6,Small Business,Office,South,1
94,King Group,Vanessa Lopez,7409 Joseph Oval Apt. 250,Lanemouth,MA,31673,USA,+1-683-565-9475x568,customer0094@example.com,7750.05,Net 30,2024-09-14,120,Small Business,Real Estate,Northeast,1
95,Harmon-Meyers,Marcus Flores,1220 Pamela Plaza Apt. 090,Lake Jenniferbury,MA,24164,USA,329-679-2734,customer0095@example.com,122305.87,Net 45,2020-02-22,84,Wholesale,Office,Northeast,1
96,Rodriguez and Sons,Eric Vasquez,609 Perry Camp,North Matthew,NJ,67358,USA,(792)639-3829x126,customer0096@example.com,135682.69,Net 30,2018-12-26,108,Wholesale,Retail,Northeast,1
97,"Jackson, Wade and Carter",Joseph Kennedy,69421 Candace Row,Michaelport,GA,46056,USA,4845519879,customer0097@example.com,27922.02,Net 45,2022-04-02,6,Small Business,Office,South,1
98,"Thompson, Warren and Leblanc",Matthew Lopez,7207 Andrea Alley Suite 946,South Joshua,PA,37365,USA,+1-447-682-8287,customer0098@example.com,109316.35,Net 45,2017-06-21,82,Wholesale,Real Estate,Northeast,1
99,"Olson, Mcgrath and Duffy",Kristopher Roberts,83687 Denise Mountain,East Linda,MA,27118,USA,001-687-618-7508x403,customer0099@example.com,95207.78,Net 60,2017-07-09,6,Design Trade,Interior Design,Northeast,1
100,"Moore, Escobar and Werner",Heather Best,3291 Rivers Terrace Suite 317,Williamville,MA,74663,USA,(863)578-4294,customer0100@example.com,59745.65,Net 60,2019-05-13,6,Design Trade,Hospitality,Northeast,1
101,"King, Smith and Freeman",Donald Crawford,613 Evans Mission,Wadeton,OH,37847,USA,(679)461-9597x2037,customer0101@example.com,59222.7,Net 45,2024-06-01,84,Design Trade,Interior Design,Midwest,1
102,"Atkins, Garrett and Smith",Stephen Wood,924 Charles Junction,Sharpview,OH,51603,USA,734.933.5134x333,customer0102@example.com,90425.61,Net 60,2017-08-12,6,Design Trade,Retail,Midwest,1
103,Garcia-Hutchinson,Jose Salinas,1519 Horton Park Apt. 896,West Jean,MA,57706,USA,+1-307-519-2894x1140,customer0103@example.com,19014.77,Net 30,2023-03-21,120,Small Business,Real Estate,Northeast,1
104,Young Group,Claudia Vaughn,8130 Woods Prairie,Millerbury,PA,62844,USA,685-419-5812,customer0104@example.com,168215.56,Net 30,2024-09-30,84,Wholesale,Retail,Northeast,1
105,"Estrada, White and Keller",Megan Smith,480 Rodriguez Extensions Suite 744,Kristaburgh,IL,47056,USA,630.628.7946,customer0105@example.com,157972.45,Net 45,2017-03-21,82,Wholesale,Retail,Midwest,1
106,"Richardson, Porter and Chavez",Jennifer Collins,1183 Nancy Mountains Apt. 838,Lake Corey,NY,72485,USA,430-914-9460x1982,customer0106@example.com,136716.59,Net 30,2019-06-01,6,Strategic,Retail,Northeast,1
107,Johnson-King,Kimberly Vega,95224 Ashley Light,South Melinda,NJ,46002,USA,349.835.7831,customer0107@example.com,8929.6,Net 30,2023-06-13,82,Small Business,Real Estate,Northeast,1
108,Anderson-Acevedo,Maria Becker,4704 Morris Manors,Port Laurentown,IL,95975,USA,202.213.5675,customer0108@example.com,146756.16,Net 30,2021-01-15,82,Design Services,Hospitality,Midwest,1
109,"Olsen, Cruz and Frazier",Emma Montes,6581 Luis Crescent Apt. 422,North Stephenmouth,IN,53234,USA,9878749890,customer0109@example.com,111778.92,Net 30,2021-01-27,84,Wholesale,Retail,Midwest,1
110,Rangel Ltd,Jade Williams,597 Mcbride Curve,Staceyside,OR,74316,USA,(781)833-0503x10253,customer0110@example.com,144652.78,Net 30,2017-05-16,82,Wholesale,Real Estate,West,1
111,Haas PLC,Robin Norman,8744 Jill Islands Apt. 951,East Mark,AZ,38647,USA,634.293.1464x3408,customer0111@example.com,12282.16,Net 30,2025-02-20,107,Small Business,Real Estate,West,1
112,Irwin LLC,Diane Hernandez,26943 Lindsey Pines,Fosterville,OR,25063,USA,254-421-6104,customer0112@example.com,27842.65,Net 45,2024-08-31,108,Small Business,Interior Design,West,1
113,Lee-Clayton,Heather Rowe,7689 Waters Club Apt. 169,Murraytown,NY,10879,USA,2196951424,customer0113@example.com,142446.77,Net 30,2017-03-22,120,Wholesale,Office,Northeast,1
114,Gonzalez Inc,Jordan Hernandez,2998 Allison Track,West Toddchester,GA,05441,USA,7502722353,customer0114@example.com,22414.23,Net 45,2021-11-27,84,Small Business,Real Estate,South,1
115,Miller-Larson,Kristin Johnson,91368 Rebecca Lake,South Craig,GA,38299,USA,231-760-8334x16254,customer0115@example.com,85722.32,Net 30,2021-03-06,6,Wholesale,Retail,South,1
116,Parker and Sons,Joshua Alvarado,021 Wright Rapids Suite 274,Jamesshire,AZ,66228,USA,884.927.6514x2553,customer0116@example.com,87513.08,Net 30,2017-08-06,120,Wholesale,Interior Design,West,1
117,Clayton-Duffy,Dr. Katherine Steele,36776 Choi Well,Nathanborough,FL,92914,USA,(289)820-1485,customer0117@example.com,30387.5,Net 45,2018-04-24,120,Design Trade,Hospitality,South,1
118,Combs-Valdez,Michael Rodriguez,8761 Jackson Trafficway Suite 145,Montoyatown,MI,38015,USA,727-930-2588,customer0118@example.com,111428.86,Net 30,2024-09-20,120,Wholesale,Retail,Midwest,1
119,West-Mcclure,Beverly Anderson,3766 Sutton Row Suite 892,Jenniferside,NY,76933,USA,001-962-815-8414x34579,customer0119@example.com,92971.89,Net 60,2024-10-17,107,Wholesale,Office,Northeast,1
120,Hubbard Inc,Gary Stewart,9893 Bradley Rest Apt. 207,Fishermouth,AZ,26783,USA,(358)301-6150x4874,customer0120@example.com,42432.9,Net 30,2023-02-07,6,Design Trade,Real Estate,West,1
121,Larson-Bean,Eric Adams,0528 Evan Fort Apt. 513,West Reneeland,IL,49765,USA,+1-730-577-9022x7598,customer0121@example.com,81840.56,Net 30,2022-07-04,120,Design Trade,Office,Midwest,1
122,Moore-Johnson,Lisa Moore,31176 Hughes Camp,Kylestad,PA,56767,USA,249-401-5460,customer0122@example.com,26772.68,Net 30,2024-12-16,82,Small Business,Interior Design,Northeast,1
123,"Frazier, Patton and Williams",Monica Roberson,8185 Sarah Parkway,East Rachelton,TN,71381,USA,(651)649-5237,customer0123@example.com,62385.85,Net 30,2024-04-16,108,Design Trade,Office,South,1
124,"Mcintyre, Harrington and Everett",Michael Smith,609 Adkins Junction Apt. 881,South Josephville,WI,54577,USA,001-429-780-4687x3040,customer0124@example.com,80528.3,Net 60,2020-01-17,6,Wholesale,Office,Midwest,1
125,Tucker Ltd,Ashley Smith,2693 Barton Fields,Bishoptown,FL,69107,USA,+1-862-551-3802,customer0125@example.com,134687.4,Net 30,2023-10-27,84,Wholesale,Hospitality,South,1
126,"Mccarthy, Smith and Mendez",Andre Perez,6101 Lisa Crossing Apt. 723,Villarrealview,PA,05002,USA,+1-241-928-3566x3608,customer0126@example.com,37566.19,Net 90,2022-01-18,82,Small Business,Office,Northeast,1
127,"Lloyd, Mitchell and Pennington",Christina Stephens,17802 Brandy Flats Apt. 684,Richardburgh,WA,40377,USA,001-904-570-8415x736,customer0127@example.com,105026.14,Net 30,2023-08-09,6,Design Services,Real Estate,West,1
128,Rodriguez Ltd,Charles Green,9979 Phillip Causeway,South Michelle,WI,20303,USA,+1-968-689-7103,customer0128@example.com,300148.14,Net 45,2018-04-12,107,Strategic,Real Estate,Midwest,1
129,"Patel, Nash and Hoffman",Denise Brooks,34688 Peter Hollow,West Erikaland,WA,11390,USA,625-557-7888x879,customer0129@example.com,297195.62,Net 60,2023-06-27,120,Strategic,Real Estate,West,1
130,"Jones, Richardson and Beard",Hannah Sherman,723 Kelly Parkways,Williamsshire,OH,87715,USA,+1-651-499-9567x7613,customer0130@example.com,67933.51,Net 45,2022-11-15,84,Design Trade,Office,Midwest,1
131,Johnson-Contreras,Craig Montgomery,26094 Wendy Brook Suite 657,Newmanstad,NC,64137,USA,(398)256-9425x442,customer0131@example.com,60857.5,Net 60,2024-12-06,120,Wholesale,Interior Design,South,1
132,Ellis-Murphy,Michael Jackson,028 Linda Court,Olsonborough,IN,95082,USA,629.399.1976x894,customer0132@example.com,9268.92,Net 90,2019-10-01,120,Small Business,Office,Midwest,1
